inscription_id,mutant_name,inscription_number,sat_number,Alpha,Black Uncommon,Block 286,Block 666,Block 78,Block 9,Block 9 450x,Common,First Transaction,Hitman,JPEG,Nakamoto,Omega,Paliblock Palindrome,Palindrome,Pizza,Silk Road,Uncommon,Vintage
7d78a999d6685048fdbe3da43567c9da04b58819ca872bf325971545f49679a6i2,ORDIMUTANT #2970,2,281101330002574,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
abf95474aa3e3072fc4688d84c1cdaad07bf872f5ffa60ebf11262b001604d0ai0,ORDIMUTANT #3836,0,281101330523034,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
bdec2a3f489519dac6da520c85bf1e10ffedb3ebb11eb1a3c0a6e4074e191ee2i2,ORDIMUTANT #1815,2,162064278215428,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
faca4a368c281e7a0ad855a8c7992b215d2687f80132b559fbed4e92edc2e763i1,ORDIMUTANT #956,1,898102537698815,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
bbe4a84a676e6a80dd429bea474aced0bd7c3a6eb526159cfbe4befb767f6d62i0,ORDIMUTANT #3705,0,806066450180969,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
f064c7917848ec37cf6eb85c7232f8f814d17204f24e0a30dcb74c0cac0ca67di0,ORDIMUTANT #3479,0,144432016780054,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
fd5d521be0005d359bcf656081d4a926385db3147b78ce00591107839dfa8604i7,ORDIMUTANT #2727,7,281101330302244,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
a29914651d9003db4a806eda6ae6432fe024803c9c71f0cb13f475905e686446i6,ORDIMUTANT #3359,6,281101330503564,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
8f11ddf307159b93cb5d2b0cb33e269363f18b7fbbe92a411dc34fd14d1c6126i1,ORDIMUTANT #3606,1,162064278232588,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
b156cffcf147b2e839bab6b0999706c4f58fe5b09edfed412b332662ab98d30ci8,ORDIMUTANT #2522,8,599543210154936,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
ca7106c2266e2d25fd8e22d50034d261f6cc9e519206521736bf2fd88b1832dai0,ORDIMUTANT #903,0,3330194910879,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
f00d15a687b016e4c5c9d45f60fa962c9afb0cbe3efbbf7c40d92f7c758403cai2,ORDIMUTANT #2600,2,898102537709705,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
1d75d5d70b37152cc15fa5efb2df68ab54673d4fc8fc36c22511c3a3742e8d55i0,ORDIMUTANT #540,0,162064278263938,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
7dd26ed24e0eb0ca7cec00d61473dfaf59318d23c84a6b7ad4a6136a9b879244i5,ORDIMUTANT #2345,5,898102537713005,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
a89bca012e62582c68df2ee58e50fdd35b4704624bc5dd7a9d09a7fa92652881i6,ORDIMUTANT #3878,6,806066450187239,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
7023812d04700794862b7cce16af51d6293412ef0196f983ce1699bbadbefb0di1,ORDIMUTANT #2944,1,3330194978529,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
253a0db85ab09329fa2de99ce0746a5630e6db2f659e32968977e45bb0c71f6bi1,ORDIMUTANT #583,1,3330194969949,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
3a12cb4a7cc29699244e00e9dbfcc222dc113222210e95a2b2865058ea4c7895i1,ORDIMUTANT #1957,1,162064278243478,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
66751337af532fd372895f15b1e7132e039765bdb1aacf817e15d73c3d205020i1,ORDIMUTANT #2034,1,806066450184269,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
8e419ee916d136fa4bc25a1f2df9d7fb9f2b799480286d78fc95dc20e2cfd956i0,ORDIMUTANT #203,0,281101330004554,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
b0aaddc1cd9a0388bff90bf0307fa83e9418a6e3f44fe6fa379eaa22ec9ad63ai3,ORDIMUTANT #189,3,898102537743035,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
d43aae87a6b0540f85972e416e4d694ba8c2d7f1077b3205e7a7ec318448a1fci3,ORDIMUTANT #2669,3,385522892705433,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
e15238ccb93cba93f19df828f1aa2025ee29be44c2b69d2f978fbf6271b1ff5di0,ORDIMUTANT #3915,0,3330194927049,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
e5db2610fbcaaf8ae68ed45dc93f62be62ef468a1de98373979c875ca97ee4c4i5,ORDIMUTANT #1593,5,281101330329964,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
e750a5d638eb1c9f12584dbc4775a9002a47a91a46ec45826ad550d73b92f0aei3,ORDIMUTANT #2685,3,823859379835938,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
7f7223e5d9dc1f8e7508bba716ea909cd4c2eecc2788ee213372bc0422f6c7f5i0,ORDIMUTANT #3628,0,281101330528644,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
ffeff8c1beaa4494fbd00845ef423dde2300c06ccbc9a4d5a84baba8d6b9bdb8i5,ORDIMUTANT #2381,5,385522892717973,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
5f0f0a91af17e504d3efe3d592ca2045d988d2da6c800974d57382732ac175dbi0,ORDIMUTANT #4237,0,3330194926059,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
cb4c31ae7270d48aabc456db4198ee98658beb5901e3ebcba62f7e2725fe14b3i1,ORDIMUTANT #1470,1,3330194918139,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
14f178adff1c4f2b99b14063498516b88a562d6835b376d6aa3e6dda6d0aafcfi0,ORDIMUTANT #3438,0,898102537724225,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
7dd26ed24e0eb0ca7cec00d61473dfaf59318d23c84a6b7ad4a6136a9b879244i2,ORDIMUTANT #1000,2,898102537712015,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
7e9b81db025d45098158fe6ea1ed99cf37cedb773c9802d732e1d28e38331457i6,ORDIMUTANT #4183,6,281101330489374,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
b34ef45bfc536d2d927276760783d60fe688e7ab33c18a7f03dc6239ddf03fd1i6,ORDIMUTANT #388,6,898102537768445,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
d16add85e95e84608d6d206bc9ec17dff0f2dcae852e1059967ea9334c9c479ci0,ORDIMUTANT #3253,0,281101330326994,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
24341949f5d1dab23e6db70bded095a06857e04d7b71a8079ab6e0a8671cce36i7,ORDIMUTANT #1141,7,385522892701803,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
87143dd2734a0acfbb24d01282094d0708144874aad5ae5120c5b5a628f1e51ci3,ORDIMUTANT #2264,3,385522892709063,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
3a12cb4a7cc29699244e00e9dbfcc222dc113222210e95a2b2865058ea4c7895i2,ORDIMUTANT #615,2,162064278243808,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
4784090d9d5ed69c66d1993459827de2417bae631c8537afa2b182a377ae90adi7,ORDIMUTANT #3508,7,898102537697825,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
144151d5ee94ee859a2615932cdc0bb8c50d1556787fc26e3f7b7d119d689cfdi7,ORDIMUTANT #2954,7,281101330292014,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
152d807a2b85f4ac182289c661fec29ebc7779d2b57558df3fe3070f2f6dbd99i1,ORDIMUTANT #2541,1,281101330326004,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
30fae0f16a20f4060003599fad21f25e185c614f93de103d2646d18199ce0cc8i7,ORDIMUTANT #1027,7,599543210151966,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
7e9b81db025d45098158fe6ea1ed99cf37cedb773c9802d732e1d28e38331457i2,ORDIMUTANT #1775,2,281101330488054,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
a29914651d9003db4a806eda6ae6432fe024803c9c71f0cb13f475905e686446i3,ORDIMUTANT #39,3,281101330502574,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
a29914651d9003db4a806eda6ae6432fe024803c9c71f0cb13f475905e686446i5,ORDIMUTANT #3741,5,281101330503234,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
a6ff3d5f1dc0ed27f2ddbcb8f8d46059bcd4b922f830d6b71fc03fb303c97366i2,ORDIMUTANT #2659,2,3330194967639,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
b156cffcf147b2e839bab6b0999706c4f58fe5b09edfed412b332662ab98d30ci3,ORDIMUTANT #1067,3,599543210153286,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
b3acb4275e103203262998a8f063c42239bc2da57290a95f3e90a48fbcbeb7afi2,ORDIMUTANT #3826,2,3330194915829,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
f044badab04687b0f3c7318302151f0bfdc22f7cd96e76705665ff3454cc4bd5i3,ORDIMUTANT #736,3,281101330307854,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
fc65f2cf1f9247ad752a5f58987d3d593eb15ad59d8a295d906b92fcfc92fd6di4,ORDIMUTANT #795,4,144432016765534,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
fc65f2cf1f9247ad752a5f58987d3d593eb15ad59d8a295d906b92fcfc92fd6di7,ORDIMUTANT #3748,7,144432016766524,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
fd5d521be0005d359bcf656081d4a926385db3147b78ce00591107839dfa8604i0,ORDIMUTANT #2386,0,281101330299934,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
